Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Simonson Richard A,Director,2022-02-01,Option Exercise,129.94,191,"24,819","55,888",Feb 03 05:23 PM
Hoskins Roche L Talbott,Director,2022-02-01,Option Exercise,129.94,180,"23,389","16,777",Feb 03 05:21 PM
Huber Jeff,Director,2022-02-01,Option Exercise,129.94,159,"20,660","79,381",Feb 03 05:19 PM
Gonzalez Rachel A,Director,2022-02-01,Option Exercise,129.94,296,"38,462",296,Feb 03 05:17 PM
Singh Vijayanthimala,Chief People Officer,2022-02-01,Sale,133.08,800,"106,464","21,917",Feb 03 05:15 PM
Miele Laura,EVP & Chief Operating Officer,2022-02-01,Sale,130.12,"3,100","403,374","29,449",Feb 03 05:13 PM
Bruzzo Chris,Chief Experience Officer,2022-02-01,Sale,130.09,"2,500","325,217","12,269",Feb 03 05:11 PM
Wilson Andrew,CEO & Director,2022-01-28,Sale,131.01,"10,000","1,310,062","102,630",Jan 31 08:13 PM
Schatz Jacob J.,Chief Legal Officer,2022-01-18,Sale,138.41,"1,000","138,410","17,331",Jan 20 05:36 PM
Jorgensen Blake J,EVP & Chief Financial Officer,2022-01-12,Sale,131.96,"3,315","437,433","81,390",Jan 13 05:15 PM
Singh Vijayanthimala,Chief People Officer,2022-01-04,Sale,134.32,800,"107,456","22,717",Jan 05 04:41 PM
Miele Laura,EVP & Chief Operating Officer,2022-01-03,Sale,133.88,"3,100","415,043","32,549",Jan 04 05:44 PM
Wilson Andrew,CEO & Director,2021-12-30,Sale,134.86,"10,000","1,348,634","112,630",Jan 03 04:38 PM
Schatz Jacob J.,Chief Legal Officer,2021-12-16,Sale,128.61,"1,000","128,610","18,331",Dec 20 05:56 PM
Jorgensen Blake J,EVP & Chief Financial Officer,2021-12-08,Sale,126.39,"3,315","418,977","84,705",Dec 09 05:43 PM
Singh Vijayanthimala,Chief People Officer,2021-12-01,Sale,124.8,800,"99,840","23,517",Dec 03 06:02 PM
Miele Laura,EVP & Chief Operating Officer,2021-12-01,Sale,123.74,"3,100","383,589","35,649",Dec 03 06:00 PM
Bruzzo Chris,Chief Experience Officer,2021-12-01,Sale,123.74,"2,500","309,361","17,269",Dec 03 05:58 PM
Schatz Jacob J.,Chief Legal Officer,2021-11-16,Sale,141.52,"1,000","141,520","17,968",Nov 18 06:04 PM
Ubinas Luis A,Director,2021-11-10,Sale,141.02,"1,769","249,465",0,Nov 12 06:36 PM
Jorgensen Blake J,COO & CFO,2021-11-10,Sale,140.1,"3,315","464,445","67,114",Nov 12 05:37 PM
Ueberroth Heidi,Director,2021-11-01,Option Exercise,141.77,140,"19,848","4,841",Nov 02 04:30 PM
Simonson Richard A,Director,2021-11-01,Option Exercise,141.77,174,"24,668","55,697",Nov 02 04:28 PM
Hoskins Roche L Talbott,Director,2021-11-01,Option Exercise,141.77,178,"25,235","16,597",Nov 02 04:26 PM
Huber Jeff,Director,2021-11-01,Option Exercise,141.77,145,"20,557","87,965",Nov 02 04:24 PM
Bruzzo Chris,Chief Experience Officer,2021-11-01,Sale,142.11,"2,500","355,273","15,158",Nov 02 08:33 PM
Singh Vijayanthimala,Chief People Officer,2021-11-01,Sale,140.91,800,"112,728","21,618",Nov 02 08:08 PM
Miele Laura,EVP & Chief Operating Officer,2021-11-01,Sale,142.19,"3,100","440,798","20,532",Nov 02 08:03 PM
Schatz Jacob J.,Chief Legal Officer,2021-10-15,Sale,135.6,"1,000","135,600","17,632",Oct 18 05:37 PM
Jorgensen Blake J,COO & CFO,2021-10-13,Sale,136.27,"3,315","451,719","70,429",Oct 14 06:34 PM
Singh Vijayanthimala,Chief People Officer,2021-10-01,Sale,141.9,800,"113,520","22,418",Oct 04 06:36 PM
Miele Laura,Chief Studios Officer,2021-10-01,Sale,142.45,"3,100","441,584","23,632",Oct 04 06:34 PM
Bruzzo Chris,EVP,2021-10-01,Sale,142.35,"2,500","355,878","17,658",Oct 04 06:32 PM
Wilson Andrew,Chief Executive Officer,2021-09-21,Sale,127.63,"10,000","1,276,252","194,173",Sep 22 05:14 PM
Schatz Jacob J.,General Counsel & Corp Sect'y,2021-09-16,Sale,136.59,"1,000","136,587","18,632",Sep 17 05:47 PM
Jorgensen Blake J,COO & CFO,2021-09-08,Sale,145.04,"3,315","480,819","73,744",Sep 09 06:11 PM
Singh Vijayanthimala,Chief People Officer,2021-09-01,Sale,145.34,800,"116,272","23,218",Sep 03 05:34 PM
Miele Laura,Chief Studios Officer,2021-09-01,Sale,146.26,"3,100","453,394","26,732",Sep 03 05:32 PM
Bruzzo Chris,EVP,2021-09-01,Sale,146.25,"2,500","365,619","20,158",Sep 03 05:30 PM
Wilson Andrew,Chief Executive Officer,2021-08-23,Sale,142.26,"10,000","1,422,614","204,173",Aug 24 08:04 PM
Schatz Jacob J.,General Counsel & Corp Sect'y,2021-08-16,Sale,137.96,"1,000","137,960","19,579",Aug 17 04:25 PM
Jorgensen Blake J,COO & CFO,2021-08-11,Sale,137.87,"3,315","457,041","77,059",Aug 12 05:18 PM
Ubinas Luis A,Director,2021-08-02,Option Exercise,144.11,248,"35,739",248,Aug 04 07:20 PM
Simonson Richard A,Director,2021-08-02,Option Exercise,144.11,172,"24,787","53,754",Aug 04 07:16 PM
Hoskins Roche L Talbott,Director,2021-08-02,Option Exercise,144.11,143,"20,608","14,650",Aug 04 07:14 PM
Huber Jeff,Director,2021-08-02,Option Exercise,144.11,144,"20,752","86,051",Aug 04 07:11 PM
Ueberroth Heidi,Director,2021-08-02,Option Exercise,144.11,138,"19,887","4,701",Aug 05 05:21 PM
Hoag Jay C,Director,2021-08-02,Option Exercise,144.11,139,"20,031",776,Aug 03 06:27 PM
Singh Vijayanthimala,Chief People Officer,2021-08-02,Sale,144.5,800,"115,600","24,018",Aug 03 05:46 PM
Miele Laura,Chief Studios Officer,2021-08-02,Sale,144.6,"3,100","448,273","29,832",Aug 03 05:44 PM
Bruzzo Chris,EVP,2021-08-02,Sale,144.58,"2,500","361,446","22,658",Aug 03 05:42 PM
Wilson Andrew,Chief Executive Officer,2021-07-21,Sale,140.89,"10,000","1,408,883","214,173",Jul 22 05:04 PM
Schatz Jacob J.,General Counsel & Corp Sect'y,2021-07-16,Sale,142.63,"1,000","142,630","20,579",Jul 19 05:24 PM
Jorgensen Blake J,COO & CFO,2021-07-14,Sale,143.41,"3,315","475,412","80,374",Jul 15 06:17 PM
Miele Laura,Chief Studios Officer,2021-07-01,Option Exercise,35.7,"3,431","122,487","39,463",Jul 02 08:26 PM
Singh Vijayanthimala,Chief People Officer,2021-07-01,Sale,143.46,800,"114,768","24,818",Jul 02 08:27 PM
Bruzzo Chris,EVP,2021-07-01,Sale,142.33,"2,500","355,818","25,158",Jul 02 08:24 PM
Miele Laura,Chief Studios Officer,2021-07-01,Sale,142.31,"6,531","929,456","32,932",Jul 02 08:26 PM
