Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Goodarzi Sasan K,"CEO, President & Board member",2021-09-01,Option Exercise,0.0,"33,979",0,"129,637",Sep 02 09:02 PM
FENNELL LAURA A,"EVP, People and Places",2021-09-01,Option Exercise,0.0,"17,832",0,"67,527",Sep 02 08:55 PM
Clatterbuck Michelle M,EVP and CFO,2021-09-01,Option Exercise,0.0,"18,533",0,"19,079",Sep 02 08:51 PM
Chriss James Alexander,"EVP, SBSEG",2021-09-01,Option Exercise,0.0,"4,014",0,"4,314",Sep 02 06:33 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-31,Option Exercise,259.87,"31,487","8,182,417","31,787",Sep 02 06:33 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-31,Sale,564.57,"31,487","17,776,562",300,Sep 02 06:33 PM
Chriss James Alexander,"EVP,  SBSEG",2021-08-27,Sale,554.61,"1,220","676,624",300,Aug 30 02:59 PM
Johnson Gregory N,"EVP, Consumer Group",2021-08-26,Option Exercise,107.25,"6,955","745,924","16,459",Aug 30 03:08 PM
Johnson Gregory N,"EVP, Consumer Group",2021-08-26,Sale,552.43,"14,843","8,199,767","1,616",Aug 30 03:08 PM
Clatterbuck Michelle M,EVP and CFO,2021-08-26,Sale,549.26,"1,652","907,378",546,Aug 30 03:03 PM
Chriss James Alexander,"EVP,  SBSEG",2021-08-26,Sale,549.26,481,"264,194","1,520",Aug 30 02:59 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-08-10,Option Exercise,0.0,542,0,"14,618",Aug 12 02:42 PM
SMITH BRAD D,Executive Chairman,2021-08-10,Option Exercise,0.0,"2,882",0,"363,188",Aug 12 02:37 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-08-10,Option Exercise,0.0,347,0,"4,311",Aug 12 02:34 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-08-10,Option Exercise,0.0,186,0,"1,970",Aug 12 02:31 PM
FENNELL LAURA A,"EVP, People and Places",2021-08-10,Option Exercise,0.0,999,0,"50,171",Aug 12 01:00 PM
Clatterbuck Michelle M,EVP and CFO,2021-08-10,Option Exercise,0.0,796,0,"2,584",Aug 12 12:54 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-10,Option Exercise,0.0,574,0,"2,280",Aug 12 12:52 PM
Tessel Marianna,EVP & Chief Technology Officer,2021-08-01,Option Exercise,0.0,402,0,"14,276",Aug 02 06:48 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-01,Option Exercise,0.0,576,0,"1,992",Aug 02 06:09 PM
Tessel Marianna,EVP & Chief Technology Officer,2021-07-01,Option Exercise,0.0,"2,561",0,"15,012",Jul 02 05:28 PM
SMITH BRAD D,Executive Chairman,2021-07-01,Option Exercise,0.0,"11,118",0,"365,628",Jul 02 05:25 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp Sec.",2021-07-01,Option Exercise,0.0,663,0,"4,194",Jul 02 05:22 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-07-01,Option Exercise,0.0,406,0,"1,926",Jul 02 05:14 PM
Clatterbuck Michelle M,EVP and CFO,2021-07-01,Option Exercise,0.0,"2,467",0,"3,013",Jul 02 04:45 PM
